որոնել,ել,նբ.
զրուցել,ել,չբ.
մագլցել,ել,չբ.
փռթկալ,ալ,չբ.
փռթկացնել,ել,չբ.
մատնել,ել,նբ.
մոլեգնել,ել,չբ.
խոյանալ,ալ,չբ.
ահաբեկվել,ել,չբ.
տեղափոխել,ել,նբ.
ձգտել,ել,չբ.
հածել,ել,չբ.,նբ.
ալարել,ել,չբ.
աղճատել,ել,նբ.
քչքչալ,ալ,չբ.
կարկաչել,ել,չբ.
դայլայլել,ել,չբ.
կտցել,ել,նբ.
խոխոջալ,ալ,չբ.
խոխոջել,ել,չբ.
ներել,ել,նբ.
նվալ,ալ,չբ.
կարոտել,ել,չբ.
զավթել,ել,նբ.
հրապուրել,ել,նբ.
աղաղակել,ել,չբ.,նբ.
կքել,ել,նբ.,չբ.
տնօրինել,ել,նբ.
ներխուժել,ել,չբ.
տապալել,ել,նբ.
շառաչել,ել,չբ.
վերագրել,ել,նբ.
զխկտել,ել,նբ.
խորհրդանշել,ել,նբ.
սրամտել,ել,չբ.
ստրկանալ,ել,չբ.
հպատակվել,ել,չբ.
արտորալ,ալ,չբ.
շտապել,ել,չբ.
ավանդել,ել,նբ.
հոշոտել,ել,նբ.
արդարացնել,ել,նբ.
արդարանալ,ալ,չբ.
տրոհել,ել,նբ.
նպաստել,ել,նբ.
մղել,ել,նբ.
սթափվել,ել,չբ.
կանխել,ել,չբ.
արտագաղթել,ել,չբ.
շտկել,ել,նբ.
ներգաղթել,ել,չբ.
հառնել,ել,չբ.
օժանդակել,ել,չբ.
վիճաբանել,ել,նբ.
շշնջալ,ալ,չբ.,նբ.
հուսահատվել,ել,չբ.
լծել,ել,նբ.
նվաղել,ել,չբ.
սավառնել,ել,չբ.
բողբոջել,ել,չբ.
նախընտրել,ել,նբ.
սփռել,ել,նբ.
տարակուսել,ել,չբ.,նբ.
դարանակալել,ել,չբ.
հագեցնել,ել,նբ.
առկայծել,ել,չբ.
կողոպտել,ել,նբ.
վռնդել,ել,նբ.
աղտոտել,ել,նբ.
կեղտոտել,ել,նբ.
արածեցնել,ել,նբ.
սփոփվել,ել,չբ.
սփոփել,ել,նբ.
փոխհատուցել,ել,նբ.
հարկադրել,ել,նբ.
մխիթարել,ել,նբ.
տուժել,ել,չբ.
տուժվել,ել,չբ.
բխել,ել,չբ.,նբ.
զրնգալ,ալ,չբ.
ողողվել,ել,չբ.
քաջալերել,ել,նբ.
մտորել,ել,չբ.
հետազոտել,ել,նբ.
մտմտալ,ալ,չբ.
կշռադատել,ել,նբ.
բնորոշել,ել,նբ.
կիրառվել,ել,չբ.
կիրառել,ել,նբ.
շպռտել,ել,նբ.
ծլարձակել,ել,չբ.
հեծել,ել,չբ.
փայլատակել,ել,նբ.
խռմփացնել,ել,չբ.
խռմփալ,ալ,չբ.
հանգստանալ,ալ,չբ.
հատկացնել,ել,նբ.
ընկճել,ել,նբ.,չբ.
հրահրել,ել,նբ.
խնկել,ել,նբ.
դիպչել,ել,չբ.
հակազդել,ել,չբ.
շնորհել,ել,նբ.
բրթել,ել,նբ.
խեթկել,ել,նբ.
լափել,ել,նբ.
հրճվել,ել,չբ.
գգվել,ել,նբ.
հրկիզել,ել,նբ.
հմայել,ել,նբ.
խրախուսել,ել,նբ.
ոգեշնչել,ել,նբ.
սպասարկել,ել,նբ.
զգուշանալ,ալ,չբ.
կողպել,ել,նբ.
ախտորոշել,ել,նբ.
աջակցել,ել,չբ.
հիասթափվել,ել,չբ.
վարել,ել,նբ.
կկել,ել,նբ.
ներբեռնել,ել,նբ.
ծղրտալ,ալ,չբ.
շիկանալ,ալ,չբ.
ստորագրել,ել,նբ.
աբստրահել,ել,նբ.
աբստրահվել,ել,չբ.
աճեցնել,ել,նբ.
ուժեղանալ,ալ,չբ.
շատանալ,ալ,չբ.
մեղադրել,ել,նբ.
ստուգել,ել,նբ.
թլվատել,ել,չբ.,նբ.
բանեցնել,ել,նբ.
լրտեսել,ել,նբ.
ունկնդրել,ել,նբ.
խոչընդոտել,ել,նբ.
արորել,ել,նբ.
կերտել,ել,նբ.
երերալ,ալ,չբ.
վարանել,ել,չբ.
տարամիտել,ել,չբ.
երկմտել,ել,չբ.
երկբայել,ել,նբ.
երկբայանալ,ալ,նբ.
կասկածել,ել,չբ.
գրգռել,ել,նբ.
սադրել,ել,նբ.
հորդորել,ել,նբ.
դրդել,ել,նբ.
տոկալ,ալ,չբ.
անորոշանալ,ալ,չբ.
հղել,ել,նբ.
բողոքարկել,ել,նբ.
պղծել,ել,նբ.
հատուցել,ել,նբ.
ճամփել,ել,նբ.
ճամփորդել,ել,չբ.
ճանապարհորդել,ել,չբ.
հեգնել,ել,նբ.
ամայանալ,ալ,չբ.
հուսալքել,ել,նբ.
հուսահատեցնել,ել,նբ.
վհատել,ել,չբ.
վհատեցնել,ել,նբ.
խզել,ել,նբ.
ամորձատել,ել,նբ.
ներքինացնել,ել,նբ.
բացառել,ել,նբ.
բացառվել,ել,չբ.
փարթամանալ,ալ,չբ.
փայլունանալ,ալ,չբ.
ներքինանալ,ալ,չբ.
առաջադիմել,ել,չբ.
փութացնել,ել,նբ.
աճապարել,ել,չբ.
ճկել,ել,նբ,.չբ.
պաճուճաբանել,ել,չբ.
փքել,ել,նբ.
փքվել,ել,չբ.
ճոռոմաբանել,ել,չբ.
ճոռոմախոսել,ել,չբ.
ազդել,ել,նբ.
ազդվել,ել,չբ.
պոռոչել,ել,չբ.
պոռոտաբանել,ել,չբ.
պոռոտախոսել,ել,չբ.
մեծաբանել,ել,չբ.
ամբարտավանանալ,ալ,չբ.
ամբարտավանել,ել,չբ.
խրոխտանալ,ալ,չբ.
հուզել,ել,նբ.
վերուվարել,ել,նբ.
սրտաշարժել,ել,նբ.
ալեկոծել,ել,նբ.
ծփել,ել,նբ.
ծեփել,ել,նբ.
սնգուրել,ել,նբ.
սնգուրվել,ել,նբ.
ոլորել,ել,նբ.
գանգրանալ,ալ,չբ.
ոլորակել,ել,նբ.
տրցակել,ել,նբ.
խոպոպանալ,ալ,չբ.
խոպոպել,ել,նբ.
խրթել,ել,նբ.
խռթացնել,ել,նբ.
մտադրել,ել,նբ.,չբ.
մտադրվել,ել,չբ.
չաղանալ,ալ,չբ.
տռզել,ել,չբ.
տկռել,ել,չբ.
ծածկել,ել,նբ.
լեցնել,ել,նբ.
գործարկել,ել,նբ.
շահագործել,ել,նբ.
չարաշահել,ել,նբ.
դատապարտել,ել,նբ.
կանխագրել,ել,նբ.
ուրանալ,ալ,նբ.
ուսումնասիրել,ել,նբ.
պայմանավորել,ել,նբ.
պայմանավորվել,ել,չբ.
համաձայնել,ել,չբ.
կանխամտածվել,ել,չբ.
կանխամտածել,ել,նբ.
առերեսել,ել,նբ.
առերեսվել,ել,չբ.
հառաչել,ել,չբ.
հեծեծել,ել,չբ.
վայելել,ել,նբ.,չբ.
շփոթել,ել,նբ.
շփոթվել,ել,չբ.
ապահովել,ել,նբ.
ապահովվել,ել,չբ.
պարապել,ել,չբ.
փորձել,ել,նբ.
հերքվել,ել,չբ.
պահածոյացնել,ել,նբ.
տարվել,ել,չբ.
պարտվել,ել,չբ.
ծպտել,ել,նբ.
ծպտվել,ել,չբ.
ճողոպրել,ել,չբ.
պատառել,ել,նբ.
ծափահարել,ել,նբ.,չբ.
ծափահարվել,ել,չբ.
լկստել,ել,նբ.
պահածոյանալ,ալ,չբ.
խղճալ,ալ,չբ.
վանկարկել,ել,նբ.
վանկել,ել,նբ.
նախանձել,ել,չբ.
կշռել,ել,նբ.
թափվել,ել,չբ.
բարելավել,ել,նբ.
բաժանվել,ել,չբ.
գնահատել,ել,նբ.
բնակվել,ել,չբ.
տառապել,ել,չբ.
տառապեցնել,ել,նբ.
առողջացնել,ել,նբ.
դատարկել,ել,նբ.
